===== VARIABLES DEL MODELO =====
Proceso=ENS | Operario=N/A | Trabajo=P6JWFUFK0D0MZEEN | ID_tarea=950 | Tipo=IntVar | Nombre_ORtools=end_950 | Clave_diccionario=end_var | ID_ORTools=121
Proceso=TEL | Operario=N/A | Trabajo=P6JWFUFK0D0MZEEN | ID_tarea=951 | Tipo=IntVar | Nombre_ORtools=start_951 | Clave_diccionario=start_var | ID_ORTools=124
Proceso=TEL | Operario=N/A | Trabajo=P6JWFUFK0D0MZEEN | ID_tarea=951 | Tipo=IntVar | Nombre_ORtools=end_951 | Clave_diccionario=end_var | ID_ORTools=125
Proceso=PDI | Operario=N/A | Trabajo=P6JWFUFK0D0MZEEN | ID_tarea=952 | Tipo=IntVar | Nombre_ORtools=start_952 | Clave_diccionario=start_var | ID_ORTools=128
Proceso=PDI | Operario=N/A | Trabajo=P6JWFUFK0D0MZEEN | ID_tarea=952 | Tipo=IntVar | Nombre_ORtools=end_952 | Clave_diccionario=end_var | ID_ORTools=129
Proceso=LAV | Operario=N/A | Trabajo=P6JWFUFK0D0MZEEN | ID_tarea=953 | Tipo=IntVar | Nombre_ORtools=start_953 | Clave_diccionario=start_var | ID_ORTools=132
Proceso=LAV | Operario=N/A | Trabajo=P6JWFUFK0D0MZEEN | ID_tarea=953 | Tipo=IntVar | Nombre_ORtools=end_953 | Clave_diccionario=end_var | ID_ORTools=133
Proceso=PIN | Operario=N/A | Trabajo=P6JWFUFK0D0MZEEN | ID_tarea=954 | Tipo=IntVar | Nombre_ORtools=start_954 | Clave_diccionario=start_var | ID_ORTools=136
Proceso=PIN | Operario=N/A | Trabajo=P6JWFUFK0D0MZEEN | ID_tarea=954 | Tipo=IntVar | Nombre_ORtools=end_954 | Clave_diccionario=end_var | ID_ORTools=137
Proceso=CAL | Operario=N/A | Trabajo=P6JWFUFK0D0MZEEN | ID_tarea=955 | Tipo=IntVar | Nombre_ORtools=start_955 | Clave_diccionario=start_var | ID_ORTools=140
Proceso=CAL | Operario=N/A | Trabajo=P6JWFUFK0D0MZEEN | ID_tarea=955 | Tipo=IntVar | Nombre_ORtools=end_955 | Clave_diccionario=end_var | ID_ORTools=141
Proceso=ENS | Operario=N/A | Trabajo=7DA7YKEH83EVOWE6 | ID_tarea=956 | Tipo=IntVar | Nombre_ORtools=start_956 | Clave_diccionario=start_var | ID_ORTools=144
Proceso=ENS | Operario=N/A | Trabajo=7DA7YKEH83EVOWE6 | ID_tarea=956 | Tipo=IntVar | Nombre_ORtools=end_956 | Clave_diccionario=end_var | ID_ORTools=145
Proceso=TEL | Operario=N/A | Trabajo=7DA7YKEH83EVOWE6 | ID_tarea=957 | Tipo=IntVar | Nombre_ORtools=start_957 | Clave_diccionario=start_var | ID_ORTools=148
Proceso=TEL | Operario=N/A | Trabajo=7DA7YKEH83EVOWE6 | ID_tarea=957 | Tipo=IntVar | Nombre_ORtools=end_957 | Clave_diccionario=end_var | ID_ORTools=149
Proceso=PDI | Operario=N/A | Trabajo=7DA7YKEH83EVOWE6 | ID_tarea=958 | Tipo=IntVar | Nombre_ORtools=start_958 | Clave_diccionario=start_var | ID_ORTools=152
